ClbWaveGap	ClbWavePhase	ClbPhaseMode	ClbWaveTaper	ClbWaveTemperature	ClbXpos	ClbZpos	ClbUndCenter	ClbWaveBx	ClbDeltaBx	ClbWaveBz	ClbDeltaBz	ClbPhaseError	ClbPeaksBxTaper	ClbPeaksBzTaper	ClbWaveIx	ClbWaveIz	ClbWaveI2x	ClbWaveI2z	ClbFundEng	ClbLambdaL	ClbWaveMultiVDip	ClbWaveVQuad	ClbWaveVSex	ClbWaveVOct	ClbWaveMultiHDip	ClbWaveHQuad	ClbWaveHSex	ClbWaveHOct	ClbWaveCoilI1	ClbWaveCoilI2	ClbWaveCoilI3	ClbWaveCoilI4	ClbOutFileInt	ClbOutFileFld	ClbPhaseIntegral
200.00	10	0	0.000	23	-5	-1	0.844909	0.011802	0.0680	0.214852	0.1087	6.87	-4.43	5.03	0.046	0.011	0.064	-0.281	3524.476	3.5210e-10	1.23	24.69	-44.31	-94	9.55	5.40	109.86	2.6	0.7515	-1.3900	-1.1105	1.2063	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	176.082
200.00	11	0	0.000	23	-5	-1	0.846195	0.014967	0.0735	0.208695	0.1000	7.61	-2.50	-21.19	0.061	0.002	0.015	-0.288	3544.981	3.5007e-10	0.43	27.66	-43.98	-1.2e+02	10.90	2.65	103.95	-7.6	0.9139	-1.3564	-1.2858	1.0134	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	165.210
200.00	0	0	0.000	23	0	-1	0.851121	0.006848	0.1073	0.729789	0.0106	3.40	2.89	-1.91	0.144	-0.083	0.038	-0.024	1825.290	6.7868e-10	-8.01	-25.03	57.65	1.9e+02	15.82	-8.53	-109.11	-2.5e+02	-0.1042	-0.9674	-0.0769	-0.5522	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1887.650
200.00	1	0	0.000	23	0	-1	0.850746	0.007361	0.0995	0.718466	0.0137	3.66	3.03	-17.53	0.135	-0.094	0.038	0.002	1848.022	6.7037e-10	-9.24	-24.44	54.70	1.8e+02	15.08	-9.24	-113.69	-2.3e+02	-0.1322	-0.8857	0.0998	-0.6789	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1844.060
200.00	2	0	0.000	23	0	-1	0.850383	0.007754	0.0941	0.695865	0.0135	3.95	3.41	-5.88	0.127	-0.089	0.039	-0.038	1909.043	6.4906e-10	-8.77	-27.12	51.74	2.2e+02	14.03	-9.06	-112.88	-2.3e+02	0.0276	-1.0006	-0.0518	-0.4753	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1732.473
200.00	3	0	0.000	23	0	-1	0.850031	0.008063	0.0906	0.666788	0.0140	4.16	3.79	-2.53	0.135	-0.085	0.040	-0.059	2011.016	6.1640e-10	-8.17	-22.70	56.69	1.8e+02	14.83	-10.35	-112.63	-2.2e+02	0.0672	-1.0949	-0.1691	-0.3934	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1561.484
200.00	4	0	0.000	23	0	-1	0.849705	0.008061	0.0895	0.614932	0.0135	4.72	3.56	-15.60	0.161	-0.063	0.049	-0.042	2156.804	5.7515e-10	-6.07	-26.82	57.41	2e+02	17.55	-8.01	-119.30	-2.2e+02	-0.1937	-1.0407	-0.2450	-0.4208	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1345.562
200.00	5	0	0.000	23	0	-1	0.85492	0.007930	0.0889	0.556181	0.0108	5.28	2.67	-2.65	0.147	-0.044	0.050	-0.052	2349.017	5.2838e-10	-4.23	-26.64	51.39	2.1e+02	16.08	-5.74	-108.29	-2.3e+02	-0.1948	-0.9636	-0.3145	-0.2640	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1100.916
200.00	6	0	0.000	23	0	-1	0.854695	0.007627	0.0914	0.490669	0.0113	5.72	2.84	10.05	0.146	-0.044	0.053	-0.076	2583.621	4.8046e-10	-4.29	-26.79	50.36	2.1e+02	15.89	-5.16	-114.45	-2.2e+02	-0.1036	-1.0652	-0.3957	-0.1558	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	850.421
200.00	7	0	0.000	23	0	-1	0.843568	0.007040	0.1133	0.414990	0.0695	6.25	3.66	10.82	0.130	-0.044	0.059	-0.093	2852.275	4.3537e-10	-4.26	-24.96	49.89	2e+02	14.50	-5.13	-121.69	-2.2e+02	-0.0046	-1.0998	-0.4018	-0.0203	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	613.545
200.00	8	0	0.000	23	0	-1	0.843616	0.006160	0.1234	0.337798	0.0799	6.40	3.47	15.95	0.170	-0.015	0.061	-0.094	3130.115	3.9659e-10	-1.20	-26.95	56.41	2.1e+02	18.51	-7.82	-118.79	-2.1e+02	-0.2426	-1.1112	-0.6412	-0.0137	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	410.319
200.00	9	0	0.000	23	0	-1	0.843977	0.004801	0.1496	0.265023	0.0945	6.35	3.03	8.81	0.179	-0.021	0.050	-0.107	3373.502	3.6792e-10	-1.88	-27.82	46.85	2.1e+02	19.39	-10.75	-120.52	-2.2e+02	-0.1633	-1.1844	-0.7223	-0.0447	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	259.653
200.00	10	0	0.000	23	0	-1	0.844851	0.002808	0.2244	0.214939	0.1090	6.53	2.35	-1.56	0.160	-0.032	0.022	-0.122	3527.786	3.5183e-10	-2.97	-27.46	46.87	2.1e+02	17.33	-13.78	-113.56	-2.2e+02	0.0832	-1.1495	-0.7629	-0.0510	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	175.186
200.00	11	0	0.000	23	0	-1	0.846151	0.000700	0.7069	0.208381	0.1003	7.42	0.52	-31.20	0.147	-0.035	-0.027	-0.120	3549.123	3.4976e-10	-3.24	-25.06	49.24	1.9e+02	16.03	-19.95	-115.02	-2.3e+02	0.2611	-0.9734	-0.8464	-0.1749	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	163.992
200.00	0	0	0.000	23	5	-1	0.85113	0.008946	0.0870	0.726880	0.0108	3.59	3.17	-1.02	0.035	-0.005	0.091	-0.086	1832.134	6.7625e-10	-0.75	15.35	-119.06	-2e+02	5.02	96.79	187.82	-9.1e+02	-0.0008	-0.7253	-0.1604	0.4793	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1873.980
200.00	1	0	0.000	23	5	-1	0.850758	0.009612	0.0804	0.716123	0.0139	3.81	2.91	-18.78	0.026	-0.020	0.089	-0.016	1854.481	6.6815e-10	-2.35	15.31	-119.44	-2.1e+02	4.09	96.14	186.55	-9.1e+02	-0.1885	-0.4795	0.1965	0.1628	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1831.524
200.00	2	0	0.000	23	5	-1	0.850397	0.010281	0.0750	0.693562	0.0138	4.10	2.98	-6.34	0.020	-0.013	0.092	-0.056	1914.960	6.4718e-10	-1.54	17.36	-123.54	-2.2e+02	3.67	99.26	191.05	-9.1e+02	-0.0520	-0.5994	0.0341	0.3775	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1721.780
200.00	3	0	0.000	23	5	-1	0.850051	0.011040	0.0701	0.664611	0.0142	4.39	3.22	1.34	0.028	-0.007	0.092	-0.105	2015.903	6.1501e-10	-0.92	13.36	-120.69	-2e+02	4.53	101.57	192.95	-9.2e+02	0.0960	-0.7934	-0.2085	0.5710	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1553.397
200.00	4	0	0.000	23	5	-1	0.84973	0.011630	0.0664	0.613914	0.0139	4.88	2.83	-15.73	0.059	0.015	0.093	-0.094	2160.426	5.7429e-10	1.10	15.93	-126.09	-2.2e+02	7.44	101.04	197.73	-9e+02	-0.1314	-0.7547	-0.3404	0.5275	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1340.307
200.00	5	0	0.000	23	5	-1	0.854949	0.012301	0.0629	0.555420	0.0111	5.44	1.40	-0.73	0.062	0.029	0.100	-0.085	2350.426	5.2809e-10	2.54	16.11	-120.96	-2.2e+02	8.05	106.37	199.90	-9.1e+02	-0.2517	-0.6933	-0.3511	0.5631	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1098.705
200.00	6	0	0.000	23	5	-1	0.854729	0.013098	0.0589	0.490315	0.0116	5.88	1.36	12.20	0.067	0.018	0.103	-0.140	2582.139	4.8071e-10	1.75	14.23	-116.62	-2.1e+02	8.30	107.58	195.78	-9.1e+02	-0.0149	-0.9778	-0.5302	0.7305	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	851.167
200.00	7	0	0.000	23	5	-1	0.843608	0.014020	0.0611	0.415479	0.0687	6.45	2.52	11.90	0.040	0.026	0.106	-0.158	2847.219	4.3616e-10	2.44	16.11	-118.39	-2.2e+02	5.55	105.36	205.79	-9e+02	0.0965	-0.9451	-0.5456	0.9191	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	617.181
200.00	8	0	0.000	23	5	-1	0.843662	0.015160	0.0569	0.339392	0.0786	6.58	2.11	15.94	0.080	0.057	0.109	-0.142	3120.942	3.9776e-10	5.49	14.75	-122.99	-2.2e+02	9.62	106.62	198.06	-9.3e+02	-0.2138	-0.8851	-0.7176	0.8730	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	416.025
200.00	9	0	0.000	23	5	-1	0.844021	0.016442	0.0557	0.268309	0.0924	6.44	1.34	6.03	0.063	0.042	0.106	-0.155	3360.336	3.6935e-10	3.77	13.68	-121.26	-2.2e+02	7.93	100.59	202.15	-9.1e+02	-0.0447	-0.9366	-0.6620	0.9060	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	266.846
200.00	10	0	0.000	23	5	-1	0.844874	0.017167	0.0668	0.219203	0.1056	6.54	1.83	-5.78	0.031	0.028	0.080	-0.172	3512.464	3.5336e-10	2.47	12.48	-121.12	-2.2e+02	4.77	97.48	204.78	-9e+02	0.2476	-0.8914	-0.6559	0.9343	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	182.905
200.00	11	0	0.000	23	5	-1	0.84613	0.015161	0.1034	0.212446	0.0977	7.49	2.42	-36.68	-0.014	0.034	0.032	-0.163	3534.361	3.5123e-10	3.03	14.50	-123.71	-2.3e+02	0.39	92.24	201.00	-9.2e+02	0.4592	-0.5616	-0.6560	0.9190	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	171.326
200.00	0	0	0.000	23	12	-1	0.851096	0.040909	0.0486	0.670017	0.0117	5.99	16.60	-10.66	0.111	-0.018	0.386	0.020	1983.195	6.2411e-10	0.02	209.72	531.18	-4.4e+02	-12.77	-274.99	979.62	6.1e+03	-1.4445	-1.4378	0.9407	0.6370	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1597.930
200.00	1	0	0.000	23	12	-1	0.850749	0.043544	0.0453	0.655658	0.0148	5.90	14.33	-25.45	0.104	-0.033	0.383	0.067	2015.435	6.1416e-10	-0.99	214.73	525.78	-4.9e+02	-13.49	-274.69	1001.97	6.2e+03	-1.5463	-1.2777	1.1972	0.4000	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1545.915
200.00	2	0	0.000	23	12	-1	0.850419	0.046893	0.0420	0.631837	0.0146	5.87	13.97	-15.41	0.128	-0.030	0.388	0.077	2082.707	5.9430e-10	-1.01	210.55	528.72	-4.5e+02	-11.13	-272.95	989.26	6.2e+03	-1.6823	-1.3148	1.1701	0.3161	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1442.134
200.00	3	0	0.000	23	12	-1	0.850108	0.051339	0.0388	0.601691	0.0146	5.93	13.72	-8.94	0.147	-0.026	0.386	0.054	2186.968	5.6610e-10	-0.08	213.38	527.34	-4.8e+02	-8.96	-272.08	975.56	6.1e+03	-1.6559	-1.4376	1.0012	0.3590	1991b-TPF-UFCM_20200224-int0.txt	1991b-TPF-UFCM_20200224-fld0.txt	1294.653
